day,label,size,width,height,filename,filename_gfp,filename_ph,x1,y1,x2,y2,ori_x1,ori_y1,ori_x2,ori_y2,clip_x1,clip_y1,clip_x2,clip_y2,batch,bbox_idx,image_id
6,meroclone1,1344,81,80,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,793,1193,874,1273,2150,2734,2231,2814,1357,1541,2701,2885,2,0,0
6,meroclone2,1344,117,119,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,85,1198,202,1317,1442,2739,1559,2858,1357,1541,2701,2885,2,1,0
6,paraclone13,1344,49,49,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,1089,200,1138,249,2446,1741,2495,1790,1357,1541,2701,2885,2,2,0
6,paraclone14,1344,45,61,1635559974_715148.png,1635559974_715148_gfp.png,1635559974_715148_ph.png,935,9,980,70,2292,1550,2337,1611,1357,1541,2701,2885,2,3,0
6,meroclone1,1344,81,80,1635559976_213709.png,1635559976_213709_gfp.png,1635559976_213709_ph.png,1204,1234,1285,1314,2150,2734,2231,2814,946,1500,2290,2844,2,4,1
6,paraclone12,1344,73,71,1635559976_213709.png,1635559976_213709_gfp.png,1635559976_213709_ph.png,330,165,403,236,1276,1665,1349,1736,946,1500,2290,2844,2,5,1
6,meroclone1,1344,81,80,1635559977_432299.png,1635559977_432299_gfp.png,1635559977_432299_ph.png,293,555,374,635,2150,2734,2231,2814,1857,2179,3201,3523,2,6,2
6,meroclone1,1344,81,80,1635559978_753215.png,1635559978_753215_gfp.png,1635559978_753215_ph.png,410,242,491,322,2150,2734,2231,2814,1740,2492,3084,3836,2,7,3
6,meroclone1,1344,81,80,1635559979_954061.png,1635559979_954061_gfp.png,1635559979_954061_ph.png,371,1123,452,1203,2150,2734,2231,2814,1779,1611,3123,2955,2,8,4
6,paraclone13,1344,49,49,1635559979_954061.png,1635559979_954061_gfp.png,1635559979_954061_ph.png,667,130,716,179,2446,1741,2495,1790,1779,1611,3123,2955,2,9,4
6,meroclone1,1344,81,80,1635559981_232702.png,1635559981_232702_gfp.png,1635559981_232702_ph.png,683,420,764,500,2150,2734,2231,2814,1467,2314,2811,3658,2,10,5
6,meroclone1,1344,81,80,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,1180,278,1261,358,2150,2734,2231,2814,970,2456,2314,3800,2,11,6
6,meroclone2,1344,117,119,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,472,283,589,402,1442,2739,1559,2858,970,2456,2314,3800,2,12,6
6,paraclone26,1344,61,69,1635559982_627949.png,1635559982_627949_gfp.png,1635559982_627949_ph.png,290,1131,351,1200,1260,3587,1321,3656,970,2456,2314,3800,2,13,6
6,meroclone1,1344,81,80,1635559983_830249.png,1635559983_830249_gfp.png,1635559983_830249_ph.png,58,569,139,649,2150,2734,2231,2814,2092,2165,3436,3509,2,14,7
6,meroclone1,1344,81,80,1635559985_064297.png,1635559985_064297_gfp.png,1635559985_064297_ph.png,235,310,316,390,2150,2734,2231,2814,1915,2424,3259,3768,2,15,8
6,meroclone1,1344,81,80,1635559986_261156.png,1635559986_261156_gfp.png,1635559986_261156_ph.png,91,671,172,751,2150,2734,2231,2814,2059,2063,3403,3407,2,16,9
6,meroclone1,1344,81,80,1635559987_452161.png,1635559987_452161_gfp.png,1635559987_452161_ph.png,771,1108,852,1188,2150,2734,2231,2814,1379,1626,2723,2970,2,17,10
6,meroclone2,1344,117,119,1635559987_452161.png,1635559987_452161_gfp.png,1635559987_452161_ph.png,63,1113,180,1232,1442,2739,1559,2858,1379,1626,2723,2970,2,18,10
